state,count,first_seen
Maryland,10,2026-09-06
Virginia,6,2026-09-06
District of Columbia,6,2026-09-06
Minnesota,1,2026-09-06
Texas,3,2026-09-07
Indiana,1,2026-09-10
Delaware,4,2026-09-11
Florida,3,2026-09-11
New Jersey,3,2026-09-11
North Carolina,1,2026-09-11
Massachusetts,1,2026-09-11
Wisconsin,1,2026-09-11
Pennsylvania,1,2026-09-11
Rhode Island,1,2026-09-11
South Dakota,1,2026-09-12
Georgia,1,2026-09-12
New York,2,2026-09-12
North Dakota,1,2026-09-13
Missouri,1,2026-09-16
California,2,2026-09-20
Illinois,1,2026-09-20
West Virginia,1,2026-09-20
Nebraska,1,2026-09-20
Connecticut,1,2026-09-20
New Hampshire,1,2026-09-22
Oklahoma,1,2026-09-22
Tennessee,1,2026-09-23
